frame,team0_FC Koln,team1_Hoffenheim,team0_FC Koln_smooth,team1_Hoffenheim_smooth
0,72.91881887052341,27.081181129476583,67.60138535706717,32.39861464293283
1,91.85821280991735,8.141787190082644,64.0149977863046,35.985002213695395
2,73.54511019283747,26.454889807162534,62.16569100091827,37.83430899908173
3,65.24405991735537,34.75594008264463,61.32839402548209,38.6716059745179
4,56.669679752066116,43.330320247933884,60.470218562631665,39.529781437368335
5,66.13722451790633,33.86277548209367,58.29184362565044,41.70815637434956
6,76.70024104683195,23.299758953168045,57.12741953023053,42.87258046976947
7,78.74913911845731,21.2508608815427,56.70680526859504,43.29319473140496
8,75.1614152892562,24.838584710743802,58.339072543617995,41.660927456382
9,62.70661157024794,37.29338842975206,57.499647821187075,42.500352178812925
10,25.987861570247933,74.01213842975206,58.45413747155349,41.54586252844652
11,52.100550964187335,47.89944903581267,59.59595959595959,40.4040404040404
12,81.03908402203857,18.96091597796143,58.22796143250689,41.77203856749311
13,17.391959366391184,82.60804063360881,57.915633608815426,42.084366391184574
14,36.27539600550964,63.72460399449036,57.76446280991735,42.23553719008264
15,48.76893939393939,51.23106060606061,56.4618629476584,43.5381370523416
16,46.7394111570248,53.26058884297521,56.56912878787879,43.43087121212121
17,21.259469696969695,78.7405303030303,55.455148071625345,44.544851928374655
18,36.16778581267218,63.83221418732782,54.5556129476584,45.4443870523416
19,48.71513429752066,51.284865702479344,53.49173553719009,46.50826446280991
20,90.98441804407713,9.015581955922865,51.13825757575758,48.86174242424242
21,39.87172865013774,60.12827134986226,48.926222451790636,51.073777548209364
22,79.45290977961432,20.547090220385673,47.74199380165289,52.25800619834711
23,85.85786845730028,14.142131542699724,50.20626721763086,49.79373278236914
24,25.396005509641874,74.60399449035813,50.364238980716244,49.63576101928375
25,65.11062327823691,34.889376721763085,50.16924931129477,49.83075068870523
26,88.07894283746556,11.921057162534435,52.974001377410474,47.02599862258953
27,40.98011363636363,59.01988636363637,51.75895316804408,48.24104683195592
28,67.925705922865,32.07429407713499,51.1373106060606,48.8626893939394
29,28.82016184573003,71.17983815426997,52.46212121212121,47.53787878787879
30,43.64884641873278,56.35115358126722,52.50146349862259,47.49853650137741
31,50.103305785123965,49.89669421487603,54.481663223140494,45.5183367768595
32,19.912190082644628,80.08780991735537,54.30595730027548,45.69404269972451
33,19.860537190082646,80.13946280991735,50.83875688705234,49.16124311294766
34,33.100895316804404,66.89910468319559,51.01678719008264,48.98321280991736
35,87.59469696969697,12.405303030303031,48.93491735537191,51.0650826446281
36,56.049845041322314,43.950154958677686,47.07016184573003,52.92983815426997
37,76.16434228650138,23.835657713498623,47.04605716253443,52.95394283746557
38,87.51076101928375,12.489238980716253,46.62594696969697,53.37405303030303
39,5.899190771349862,94.10080922865014,45.590823002754824,54.40917699724518
40,33.22787534435262,66.77212465564737,45.00439049586777,54.995609504132226
41,79.85967630853995,20.140323691460054,42.79140840220385,57.20859159779615
42,22.243026859504134,77.75697314049587,43.702737603305785,56.297262396694215
43,85.67277892561982,14.327221074380164,44.0077479338843,55.9922520661157
44,44.32248622589532,55.67751377410468,43.32128099173553,56.67871900826446
45,4.304407713498622,95.69559228650138,44.156938705234154,55.84306129476584
46,44.32248622589532,55.67751377410468,46.72770316804407,53.27229683195593
47,27.40616391184573,72.59383608815428,47.950327134986225,52.049672865013775
48,39.238980716253444,60.761019283746556,45.81353305785124,54.18646694214876
49,24.793388429752067,75.20661157024794,45.84684917355372,54.15315082644628
50,54.60786845730028,45.39213154269973,45.210141184573,54.789858815426996
51,62.20084366391184,37.79915633608815,43.59306129476583,56.40693870523416
52,26.319300964187324,73.68069903581267,44.85898760330578,55.141012396694215
53,12.60115358126722,87.39884641873277,43.98183539944904,56.018164600550975
54,51.603391873278234,48.396608126721766,42.07472451790633,57.92527548209366
55,51.27410468319559,48.725895316804404,41.805526859504134,58.194473140495866
56,32.94163223140496,67.05836776859503,39.16615013774105,60.83384986225896
57,40.803632920110196,59.19636707988981,38.05836776859504,61.94163223140497
