frame,team0_VfB Stuttgart,team1_Bayern Munchen,team0_VfB Stuttgart_smooth,team1_Bayern Munchen_smooth
0,43.612258953168045,56.38774104683195,50.78803771985591,49.21196228014409
1,58.64325068870524,41.35674931129476,51.046739718614724,48.95326028138528
2,78.73837809917356,21.261621900826448,51.61544421487603,48.38455578512397
3,11.28615702479339,88.71384297520662,51.9298542957989,48.0701457042011
4,69.06206955922865,30.93793044077135,51.704672054772324,48.295327945227676
5,38.91615013774105,61.08384986225895,51.33687729568411,48.66312270431589
6,51.127754820936644,48.87224517906336,49.21659779614325,50.78340220385675
7,72.66270661157024,27.33729338842975,48.52401859504132,51.47598140495868
8,56.493199035812665,43.50680096418733,47.660041978223795,52.339958021776205
9,44.02978650137741,55.97021349862259,45.8921276296018,54.1078723703982
10,15.394714187327823,84.60528581267218,44.21506318121931,55.784936818780686
11,89.65650826446281,10.34349173553719,42.820247933884296,57.179752066115704
12,30.6215564738292,69.3784435261708,42.21875,57.78125
13,54.409865702479344,45.59013429752066,41.86268939393939,58.13731060606061
14,59.57730716253443,40.42269283746556,40.438619146005514,59.561380853994486
15,56.646005509641874,43.353994490358126,41.10519972451791,58.89480027548209
16,48.101756198347104,51.89824380165289,42.63670798898072,57.36329201101928
17,45.084366391184574,54.915633608815426,41.456783746556475,58.543216253443525
18,11.051566804407713,88.94843319559229,41.84564393939394,58.15435606060606
19,35.36501377410468,64.63498622589532,41.53219696969697,58.46780303030303
20,30.380509641873278,69.61949035812673,40.7717803030303,59.2282196969697
21,8.765926308539946,91.23407369146005,40.40736914600551,59.592630853994486
22,7.319645316804407,92.68035468319559,40.84796831955923,59.15203168044077
23,10.739497245179063,89.26050275482093,42.75800619834711,57.241993801652896
24,27.782799586776857,72.21720041322314,40.016787190082646,59.98321280991735
25,34.710743801652896,65.28925619834712,41.019455922865006,58.980544077134994
26,23.041494490358126,76.95850550964187,40.649449035812665,59.35055096418732
27,95.40289256198346,4.597107438016529,39.82076446280992,60.17923553719008
28,49.57386363636363,50.42613636363637,39.223312672176306,60.776687327823694
29,39.56396349862259,60.43603650137741,39.94662534435261,60.053374655647374
30,48.637654958677686,51.362345041322314,39.7256370523416,60.2743629476584
31,43.291580578512395,56.7084194214876,39.66322314049587,60.336776859504134
32,53.652289944903586,46.34771005509642,40.769197658402206,59.230802341597794
33,47.38292011019284,52.61707988980716,40.94490358126722,59.055096418732774
34,55.044765840220386,44.955234159779614,43.16038223140495,56.83961776859503
35,63.14566115702479,36.8543388429752,45.256370523415974,54.743629476584026
36,21.12603305785124,78.87396694214877,47.6439393939394,52.3560606060606
37,55.68827479338842,44.31172520661157,49.474259641873275,50.525740358126725
38,45.1596935261708,54.8403064738292,50.74647038567493,49.25352961432506
39,38.86019283746556,61.13980716253443,51.97357093663911,48.02642906336089
40,41.70971074380165,58.29028925619835,49.61088154269973,50.38911845730027
41,66.18457300275482,33.81542699724518,49.30612947658402,50.69387052341598
42,39.559659090909086,60.44034090909091,51.071883608815426,48.928116391184574
43,9.491219008264464,90.50878099173553,52.045626721763085,47.95437327823691
44,63.014376721763085,36.985623278236915,51.04235537190083,48.95764462809917
45,34.77315771349862,65.22684228650138,51.62947658402203,48.37052341597796
46,64.15289256198346,35.84710743801653,52.60528581267217,47.39471418732783
47,59.71935261707989,40.28064738292011,52.27057506887052,47.72942493112948
48,70.42871900826447,29.571280991735538,50.053632920110196,49.946367079889804
49,73.54080578512396,26.45919421487603,49.23657024793388,50.763429752066116
50,66.51601239669421,33.483987603305785,47.11113980716254,52.888860192837456
51,53.71900826446281,46.28099173553719,46.06602961432506,53.93397038567493
52,36.33565771349862,63.66434228650137,47.43138774104683,52.56861225895317
53,41.955061983471076,58.044938016528924,47.51110537190082,52.48889462809917
54,83.70781680440771,16.292183195592287,47.089876033057855,52.910123966942145
55,72.98123278236915,27.018767217630852,47.40289256198347,52.59710743801653
56,18.209796831955924,81.79020316804407,50.49087465564739,49.50912534435261
57,68.33032024793388,31.669679752066116,50.47374311294765,49.52625688705234
58,71.77815082644628,28.22184917355372,52.24070247933884,47.75929752066115
59,46.67699724517907,53.32300275482093,52.3956611570248,47.6043388429752
60,7.722107438016529,92.27789256198346,52.037448347107436,47.96255165289255
61,0.6994662534435262,99.30053374655647,51.64798553719008,48.35201446280992
62,2.5525137741046833,97.44748622589532,51.293302341597794,48.7066976584022
63,19.03193870523416,80.96806129476583,52.17605027548209,47.82394972451791
64,72.99414600550963,27.00585399449036,53.52961432506887,46.47038567493112
65,43.702651515151516,56.297348484848484,55.044679752066116,44.955320247933884
66,55.65383953168044,44.34616046831955,56.249483471074385,43.750516528925615
67,47.38507231404959,52.614927685950406,54.979941460055095,45.020058539944905
68,86.69077134986226,13.309228650137742,55.52840909090909,44.47159090909091
69,62.58608815426997,37.41391184573003,57.47856404958677,42.52143595041323
70,78.94714187327824,21.052858126721762,57.97159090909091,42.02840909090909
71,68.02685950413223,31.973140495867767,58.048984159779614,41.951015840220386
72,50.76403236914601,49.23596763085399,59.237345041322314,40.762654958677686
73,60.692148760330575,39.307851239669425,61.36699380165289,38.633006198347104
74,64.6737258953168,35.3262741046832,62.43224862258953,37.56775137741047
75,88.58471074380165,11.415289256198346,64.50068870523415,35.49931129476584
76,87.55810950413223,12.441890495867769,64.96255165289256,35.037448347107436
77,74.21229338842976,25.78770661157025,63.71728650137741,36.28271349862259
78,72.07515495867769,27.924845041322317,65.49182162534436,34.50817837465565
79,51.969266528925615,48.030733471074385,65.38283402203857,34.617165977961434
80,86.692923553719,13.307076446280991,63.98631198347107,36.013688016528924
81,66.96367079889806,33.03632920110193,62.279442148760324,37.720557851239676
82,80.65599173553719,19.344008264462808,60.70764462809918,39.29235537190083
83,73.71298209366391,26.28701790633609,57.7577479338843,42.242252066115704
84,76.38601928374655,23.613980716253444,56.614841597796136,43.385158402203864
85,60.963326446280995,39.03667355371901,54.6935261707989,45.3064738292011
86,27.330836776859503,72.6691632231405,52.37801308539945,47.62198691460055
87,54.263515840220386,45.736484159779614,49.992940771349865,50.00705922865014
88,30.57851239669421,69.42148760330579,47.38989325068871,52.6101067493113
89,41.86251721763085,58.13748278236914,45.44920798898072,54.55079201101928
90,88.06602961432507,11.933970385674932,44.20308195592286,55.79691804407713
91,52.92914944903582,47.07085055096419,42.67493112947658,57.32506887052342
92,12.472021349862258,87.52797865013774,43.36053719008264,56.63946280991735
93,44.01902548209367,55.98097451790633,42.28004476584022,57.71995523415978
94,23.291150137741045,76.70884986225896,41.905905647382916,58.09409435261708
95,5.199724517906336,94.80027548209367,41.18250688705234,58.81749311294766
96,39.454201101928376,60.545798898071624,39.6780303030303,60.3219696969697
97,2.731146694214876,97.26885330578511,39.4480888429752,60.55191115702479
98,2.8043216253443526,97.19567837465564,39.740530303030305,60.2594696969697
99,5.0469180440771355,94.95308195592287,41.22873622589532,58.77126377410468
100,23.508522727272727,76.49147727272727,42.47064393939394,57.52935606060606
101,39.0409779614325,60.95902203856749,42.75163567493113,57.24836432506887
102,43.05914256198347,56.940857438016536,42.85795454545454,57.14204545454545
103,33.87138429752066,66.12861570247934,41.515323691460054,58.484676308539946
104,69.10941804407713,30.890581955922862,39.68612258953168,60.31387741046832
105,59.6806129476584,40.3193870523416,42.69171831955923,57.30828168044078
106,57.61019283746557,42.38980716253444,42.56103650137741,57.43896349862259
107,62.57102272727273,37.42897727272727,43.15702479338843,56.84297520661157
108,36.10106749311295,63.89893250688705,45.05655991735537,54.94344008264463
109,70.63748278236915,29.362517217630852,44.48174931129476,55.51825068870524
110,68.2743629476584,31.7256370523416,46.52703168044077,53.47296831955923
111,64.53598484848484,35.46401515151515,49.90392561983471,50.09607438016529
112,85.31120867768594,14.68879132231405,52.19963842975207,47.80036157024793
113,37.60330578512397,62.396694214876035,53.69585055096419,46.30414944903581
114,44.52048898071625,55.47951101928375,55.63507231404959,44.36492768595041
115,54.50025826446281,45.49974173553719,54.71797520661156,45.28202479338843
116,7.199121900826447,92.80087809917356,57.00766184573003,42.99233815426997
117,87.61191460055096,12.388085399449036,58.083419421487605,41.9165805785124
118,40.75198002754821,59.24801997245179,59.30595730027548,40.69404269972452
119,38.19085743801653,61.809142561983464,59.23097451790633,40.76902548209367
120,52.68810261707989,47.31189738292011,58.97804752066116,41.02195247933884
121,25.08393595041322,74.91606404958677,59.467458677685954,40.532541322314046
122,53.863205922865006,46.13679407713499,59.08539944903581,40.91460055096419
123,87.22667011019284,12.773329889807162,59.33410812672176,40.66589187327824
124,62.439738292011015,37.56026170798898,58.95824724517907,41.04175275482093
125,60.91382575757576,39.08617424242424,56.32360537190083,43.67639462809918
126,87.5215220385675,12.478477961432507,55.68526170798898,44.314738292011015
127,20.131714876033058,79.86828512396694,55.55354683195592,44.44645316804407
128,91.1135502754821,8.886449724517906,55.19146005509642,44.80853994490358
129,96.00335743801654,3.996642561983471,56.18913567493112,43.81086432506887
130,90.24405991735537,9.755940082644628,55.40909090909091,44.59090909090909
131,55.735623278236915,44.264376721763085,56.563877410468315,43.43612258953168
132,56.24784779614325,43.752152203856745,58.02134986225896,41.97865013774105
133,48.33634641873278,51.66365358126722,56.36518595041323,43.63481404958677
134,61.08600206611571,38.913997933884296,57.30948691460055,42.69051308539945
135,74.49207988980716,25.50792011019284,57.425533746556475,42.574466253443525
136,55.13946280991735,44.860537190082646,55.37741046831956,44.62258953168044
137,19.445161845730027,80.55483815426997,56.422262396694215,43.577737603305785
138,21.644714187327825,78.35528581267218,54.84409435261708,45.155905647382916
139,41.227617079889804,58.77238292011019,52.97460399449035,47.02539600550965
140,45.4480888429752,54.55191115702479,54.89368112947659,45.10631887052342
141,32.141012396694215,67.85898760330579,54.02126377410468,45.97873622589531
142,68.11079545454545,31.889204545454547,53.12896005509642,46.87103994490358
143,69.62164256198346,30.37835743801653,51.42751377410468,48.57248622589532
144,74.62766873278237,25.37233126721763,49.59211432506887,50.40788567493113
145,11.284004820936639,88.71599517906336,48.08066460055096,51.91933539944904
146,48.69146005509642,51.308539944903586,49.28615702479338,50.71384297520662
147,56.764376721763085,43.235623278236915,50.34495523415977,49.65504476584022
148,36.02358815426997,63.97641184573003,49.23889462809918,50.76110537190083
149,88.56103650137742,11.43896349862259,49.457558539944905,50.542441460055095
150,21.45962465564738,78.54037534435263,51.01928374655647,48.980716253443525
151,40.784263085399445,59.21573691460055,52.54347451790633,47.45652548209366
152,68.1086432506887,31.891356749311296,52.499827823691454,47.50017217630853
153,69.30311639118457,30.69688360881543,52.3793044077135,47.6206955922865
154,73.69576446280992,26.304235537190085,52.19714187327824,47.80285812672176
155,47.70790289256198,52.29209710743802,50.749483471074385,49.250516528925615
156,9.850637052341597,90.1493629476584,51.1144111570248,48.8855888429752
157,18.461604683195592,81.53839531680441,51.45385674931129,48.5461432506887
158,78.47365702479338,21.52634297520661,54.145402892561975,45.85459710743801
159,87.55595730027548,12.444042699724518,55.40203168044078,44.59796831955923
160,46.84056473829201,53.15943526170799,56.88180096418732,43.11819903581268
161,60.60606060606061,39.39393939393939,59.072055785123965,40.927944214876035
162,58.48829201101928,41.51170798898072,56.92897727272727,43.07102272727273
163,59.749483471074385,40.250516528925615,57.42837465564739,42.57162534435261
164,40.13644972451791,59.86355027548209,58.65685261707989,41.343147382920115
165,42.43500344352617,57.56499655647382,59.45523415977962,40.544765840220386
166,27.586949035812676,72.41305096418733,58.62663567493113,41.37336432506887
167,31.919335399449032,68.08066460055096,56.97400137741046,43.02599862258953
168,78.7448347107438,21.255165289256198,56.7431129476584,43.2568870523416
169,83.1138085399449,16.886191460055098,57.33892906336089,42.66107093663911
170,78.57265840220386,21.427341597796143,59.668388429752056,40.33161157024794
171,80.10717975206612,19.892820247933884,58.15952134986226,41.84047865013774
172,93.758608815427,6.241391184573003,57.37852961432507,42.62147038567493
173,90.77995867768594,9.22004132231405,56.849259641873275,43.150740358126725
174,34.984073691460054,65.01592630853995,56.39488636363636,43.60511363636363
175,33.94455922865014,66.05544077134986,57.31051997245179,42.689480027548214
176,71.49621212121212,28.50378787878788,56.53426308539945,43.46573691460055
177,88.06818181818183,11.931818181818182,56.10528581267218,43.89471418732783
178,48.58815426997245,51.41184573002755,56.364841597796136,43.635158402203864
179,32.37990702479338,67.62009297520662,56.74457644628099,43.25542355371901
180,41.93569214876033,58.06430785123967,56.972710055096414,43.02728994490358
181,24.74603994490358,75.25396005509641,55.117510330578504,44.88248966942148
182,76.69808884297521,23.301911157024794,52.16873278236914,47.83126721763086
183,40.75198002754821,59.24801997245179,52.61604683195593,47.38395316804408
184,68.03116391184572,31.96883608815427,52.73941115702479,47.2605888429752
185,33.608815426997246,66.39118457300276,50.98209366391185,49.01790633608815
186,49.24672865013774,50.75327134986226,49.72107438016529,50.27892561983471
187,81.37913223140497,18.620867768595044,50.89919077134986,49.10080922865014
188,40.34306129476584,59.65693870523416,52.391959366391184,47.608040633608816
189,29.41201790633609,70.58798209366391,51.59065082644628,48.40934917355372
190,48.923898071625345,51.07610192837465,50.27840909090909,49.72159090909091
191,37.080320247933884,62.919679752066116,50.465995179063356,49.53400482093664
192,37.62267561983471,62.37732438016529,52.31534090909091,47.68465909090909
193,32.36484159779614,67.63515840220386,53.062844352617084,46.93715564738292
194,9.394369834710742,90.60563016528926,55.21547865013774,44.78452134986226
195,89.75550964187327,10.244490358126722,54.668904958677686,45.331095041322314
196,83.19128787878788,16.80871212121212,54.993973829201096,45.0060261707989
197,49.82567148760331,50.17432851239669,55.044163223140494,44.9558367768595
198,59.25447658402204,40.745523415977964,56.14454201101928,43.85545798898072
199,64.43698347107438,35.563016528925615,55.87121212121212,44.12878787878788
200,71.2637741046832,28.736225895316803,54.543216253443525,45.45678374655647
201,51.46349862258953,48.53650137741047,54.85984848484848,45.14015151515151
202,55.26213842975206,44.73786157024794,55.24070247933884,44.75929752066116
203,53.2778064738292,46.7221935261708,55.67338154269973,44.32661845730027
204,78.6135502754821,21.386449724517906,56.37861570247934,43.62138429752066
205,60.6232782369146,39.3767217630854,56.75809228650138,43.24190771349862
206,78.56189738292011,21.438102617079892,56.81740702479339,43.18259297520661
207,63.03374655647382,36.96625344352617,57.433539944903586,42.56646005509642
208,48.87870179063361,51.121298209366394,55.371384297520656,44.62861570247934
209,69.28589876033058,30.71410123966942,53.171573691460054,46.828426308539946
210,61.11828512396694,38.88171487603306,53.061380853994486,46.9386191460055
211,42.413481404958674,57.586518595041326,51.898329889807165,48.101670110192835
212,48.17923553719009,51.82076446280992,49.84900137741047,50.15099862258953
213,48.258867079889804,51.74113292011019,49.08049242424242,50.91950757575757
214,38.93336776859504,61.06663223140496,47.648243801652896,52.35175619834711
215,59.74087465564738,40.25912534435262,47.87353650137741,52.12646349862259
216,54.71117424242424,45.28882575757576,46.57222796143251,53.42777203856749
217,47.10959022038568,52.89040977961432,45.33324724517907,54.66675275482093
218,33.84771005509642,66.15228994490359,45.10959022038567,54.89040977961433
219,24.797692837465565,75.20230716253444,43.884555785123965,56.115444214876035
220,38.20161845730027,61.79838154269972,43.44886363636364,56.55113636363637
221,28.19602272727273,71.80397727272727,43.71513429752066,56.28486570247934
222,47.07085055096419,52.92914944903582,42.24457644628099,57.75542355371901
223,30.178202479338843,69.82179752066115,42.500516528925615,57.499483471074385
224,13.203770661157025,86.79622933884298,42.99974173553719,57.00025826446281
225,52.05105027548209,47.94894972451791,43.918991046831955,56.08100895316804
